Dataset,Model,overall_dataset_auc,overall_dataset_auc_std,student_auc_mean,student_auc_mean_std,student_auc_std,student_auc_std_std,student_auc_max,student_auc_max_std,student_auc_min,student_auc_min_std,student_auc_range,student_auc_range_std,unfairness_metric,average_auc,average_auc_std,gini_coefficient,gini_coefficient_std,eawi_alpha_10,eawi_alpha_10_std,eawi_alpha_20,eawi_alpha_20_std,eawi_alpha_30,eawi_alpha_30_std,Folds_Present
algebra2005,akt,"0    0.831695
Name: overall_dataset_auc_mean, dtype: float64","0    0.001727
Name: overall_dataset_auc_std, dtype: float64","0    0.797191
Name: student_auc_mean_mean, dtype: float64","0    0.002484
Name: student_auc_mean_std, dtype: float64","0    0.070333
Name: student_auc_std_mean, dtype: float64","0    0.001388
Name: student_auc_std_std, dtype: float64","0    0.968571
Name: student_auc_max_mean, dtype: float64","0    0.025555
Name: student_auc_max_std, dtype: float64","0    0.438
Name: student_auc_min_mean, dtype: float64","0    0.0333
Name: student_auc_min_std, dtype: float64","0    0.530571
Name: student_auc_range_mean, dtype: float64","0    0.026548
Name: student_auc_range_std, dtype: float64",21.3628445269002,"0    0.797191
Name: student_auc_average_auc_mean, dtype: float64","0    0.002484
Name: student_auc_average_auc_std, dtype: float64","0    0.045382
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.000385
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.761013
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.002537
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.726478
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.002605
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.693509
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.002679
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,atkt,"0    0.829249
Name: overall_dataset_auc_mean, dtype: float64","0    0.001566
Name: overall_dataset_auc_std, dtype: float64","0    0.798564
Name: student_auc_mean_mean, dtype: float64","0    0.002419
Name: student_auc_mean_std, dtype: float64","0    0.059948
Name: student_auc_std_mean, dtype: float64","0    0.003843
Name: student_auc_std_std, dtype: float64","0    0.982857
Name: student_auc_max_mean, dtype: float64","0    0.025555
Name: student_auc_max_std, dtype: float64","0    0.597014
Name: student_auc_min_mean, dtype: float64","0    0.04712
Name: student_auc_min_std, dtype: float64","0    0.385843
Name: student_auc_range_mean, dtype: float64","0    0.06523
Name: student_auc_range_std, dtype: float64",34.52397209534627,"0    0.798564
Name: student_auc_average_auc_mean, dtype: float64","0    0.002419
Name: student_auc_average_auc_std, dtype: float64","0    0.040552
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001635
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.766177
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.001289
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.735106
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.001114
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.705296
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.001939
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,atktfix,"0    0.801388
Name: overall_dataset_auc_mean, dtype: float64","0    0.003126
Name: overall_dataset_auc_std, dtype: float64","0    0.768044
Name: student_auc_mean_mean, dtype: float64","0    0.003481
Name: student_auc_mean_std, dtype: float64","0    0.059398
Name: student_auc_std_mean, dtype: float64","0    0.002108
Name: student_auc_std_std, dtype: float64","0    0.931746
Name: student_auc_max_mean, dtype: float64","0    0.023677
Name: student_auc_max_std, dtype: float64","0    0.525
Name: student_auc_min_mean, dtype: float64","0    0.023746
Name: student_auc_min_std, dtype: float64","0    0.406746
Name: student_auc_range_mean, dtype: float64","0    0.039476
Name: student_auc_range_std, dtype: float64",31.790087188801596,"0    0.768044
Name: student_auc_average_auc_mean, dtype: float64","0    0.003481
Name: student_auc_average_auc_std, dtype: float64","0    0.041425
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001082
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.736227
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.003403
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.705729
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.003509
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.676496
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.003745
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,bakt,"0    0.828894
Name: overall_dataset_auc_mean, dtype: float64","0    0.000396
Name: overall_dataset_auc_std, dtype: float64","0    0.794039
Name: student_auc_mean_mean, dtype: float64","0    0.001767
Name: student_auc_mean_std, dtype: float64","0    0.070695
Name: student_auc_std_mean, dtype: float64","0    0.001125
Name: student_auc_std_std, dtype: float64","0    0.965714
Name: student_auc_max_mean, dtype: float64","0    0.007825
Name: student_auc_max_std, dtype: float64","0    0.474667
Name: student_auc_min_mean, dtype: float64","0    0.038413
Name: student_auc_min_std, dtype: float64","0    0.491048
Name: student_auc_range_mean, dtype: float64","0    0.034415
Name: student_auc_range_std, dtype: float64",22.873409288578852,"0    0.794039
Name: student_auc_average_auc_mean, dtype: float64","0    0.001767
Name: student_auc_average_auc_std, dtype: float64","0    0.045951
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.000671
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.757553
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.002202
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.722744
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.0026
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.689535
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.002961
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,deep_irt,"0    0.803818
Name: overall_dataset_auc_mean, dtype: float64","0    0.001359
Name: overall_dataset_auc_std, dtype: float64","0    0.769227
Name: student_auc_mean_mean, dtype: float64","0    0.001292
Name: student_auc_mean_std, dtype: float64","0    0.06709
Name: student_auc_std_mean, dtype: float64","0    0.002739
Name: student_auc_std_std, dtype: float64","0    0.991429
Name: student_auc_max_mean, dtype: float64","0    0.007825
Name: student_auc_max_std, dtype: float64","0    0.544669
Name: student_auc_min_mean, dtype: float64","0    0.0215
Name: student_auc_min_std, dtype: float64","0    0.446759
Name: student_auc_range_mean, dtype: float64","0    0.026631
Name: student_auc_range_std, dtype: float64",25.66385088880674,"0    0.769227
Name: student_auc_average_auc_mean, dtype: float64","0    0.001292
Name: student_auc_average_auc_std, dtype: float64","0    0.046035
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001497
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.733816
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.001937
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.700036
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.002804
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.667813
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.003659
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,dimkt,"0    0.828781
Name: overall_dataset_auc_mean, dtype: float64","0    0.001082
Name: overall_dataset_auc_std, dtype: float64","0    0.797149
Name: student_auc_mean_mean, dtype: float64","0    0.00129
Name: student_auc_mean_std, dtype: float64","0    0.067549
Name: student_auc_std_mean, dtype: float64","0    0.002917
Name: student_auc_std_std, dtype: float64","0    0.948953
Name: student_auc_max_mean, dtype: float64","0    0.036449
Name: student_auc_max_std, dtype: float64","0    0.517
Name: student_auc_min_mean, dtype: float64","0    0.056867
Name: student_auc_min_std, dtype: float64","0    0.431953
Name: student_auc_range_mean, dtype: float64","0    0.0731
Name: student_auc_range_std, dtype: float64",27.320289120216053,"0    0.797149
Name: student_auc_average_auc_mean, dtype: float64","0    0.00129
Name: student_auc_average_auc_std, dtype: float64","0    0.044436
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001284
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.761727
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.001344
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.72788
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.001956
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.695537
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.002688
Name: student_auc_eawi_alpha_30_std, dtype: float64","42,42,42,42,3407"
algebra2005,dkt,"0    0.816396
Name: overall_dataset_auc_mean, dtype: float64","0    0.001165
Name: overall_dataset_auc_std, dtype: float64","0    0.782408
Name: student_auc_mean_mean, dtype: float64","0    0.000241
Name: student_auc_mean_std, dtype: float64","0    0.06075
Name: student_auc_std_mean, dtype: float64","0    0.001498
Name: student_auc_std_std, dtype: float64","0    0.968571
Name: student_auc_max_mean, dtype: float64","0    0.018626
Name: student_auc_max_std, dtype: float64","0    0.547986
Name: student_auc_min_mean, dtype: float64","0    0.035238
Name: student_auc_min_std, dtype: float64","0    0.420585
Name: student_auc_range_mean, dtype: float64","0    0.018484
Name: student_auc_range_std, dtype: float64",30.622058253041768,"0    0.782408
Name: student_auc_average_auc_mean, dtype: float64","0    0.000241
Name: student_auc_average_auc_std, dtype: float64","0    0.041371
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.000892
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.750039
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.000644
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.71901
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.001268
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.689265
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.001851
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,dkt+,"0    0.817112
Name: overall_dataset_auc_mean, dtype: float64","0    0.001223
Name: overall_dataset_auc_std, dtype: float64","0    0.782712
Name: student_auc_mean_mean, dtype: float64","0    0.001893
Name: student_auc_mean_std, dtype: float64","0    0.061062
Name: student_auc_std_mean, dtype: float64","0    0.001362
Name: student_auc_std_std, dtype: float64","0    0.962857
Name: student_auc_max_mean, dtype: float64","0    0.027848
Name: student_auc_max_std, dtype: float64","0    0.556952
Name: student_auc_min_mean, dtype: float64","0    0.032896
Name: student_auc_min_std, dtype: float64","0    0.405905
Name: student_auc_range_mean, dtype: float64","0    0.043618
Name: student_auc_range_std, dtype: float64",31.579556959449725,"0    0.782712
Name: student_auc_average_auc_mean, dtype: float64","0    0.001893
Name: student_auc_average_auc_std, dtype: float64","0    0.04164
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.000739
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.750119
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.001611
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.718884
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.001536
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.688949
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.001647
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,dkt_forget,"0    0.815939
Name: overall_dataset_auc_mean, dtype: float64","0    0.00125
Name: overall_dataset_auc_std, dtype: float64","0    0.781617
Name: student_auc_mean_mean, dtype: float64","0    0.000352
Name: student_auc_mean_std, dtype: float64","0    0.064647
Name: student_auc_std_mean, dtype: float64","0    0.001307
Name: student_auc_std_std, dtype: float64","0    0.968571
Name: student_auc_max_mean, dtype: float64","0    0.018626
Name: student_auc_max_std, dtype: float64","0    0.551667
Name: student_auc_min_mean, dtype: float64","0    0.029439
Name: student_auc_min_std, dtype: float64","0    0.416905
Name: student_auc_range_mean, dtype: float64","0    0.033264
Name: student_auc_range_std, dtype: float64",29.000742425442258,"0    0.781617
Name: student_auc_average_auc_mean, dtype: float64","0    0.000352
Name: student_auc_average_auc_std, dtype: float64","0    0.043967
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.000641
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.747251
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.000583
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.714397
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.000988
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.682987
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.001386
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,dkvmn,"0    0.805205
Name: overall_dataset_auc_mean, dtype: float64","0    0.000992
Name: overall_dataset_auc_std, dtype: float64","0    0.771078
Name: student_auc_mean_mean, dtype: float64","0    0.001471
Name: student_auc_mean_std, dtype: float64","0    0.067416
Name: student_auc_std_mean, dtype: float64","0    0.002871
Name: student_auc_std_std, dtype: float64","0    0.991429
Name: student_auc_max_mean, dtype: float64","0    0.007825
Name: student_auc_max_std, dtype: float64","0    0.572423
Name: student_auc_min_mean, dtype: float64","0    0.014289
Name: student_auc_min_std, dtype: float64","0    0.419005
Name: student_auc_range_mean, dtype: float64","0    0.021682
Name: student_auc_range_std, dtype: float64",27.29708518168996,"0    0.771078
Name: student_auc_average_auc_mean, dtype: float64","0    0.001471
Name: student_auc_average_auc_std, dtype: float64","0    0.046189
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001745
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.735463
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.002012
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.701495
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.002976
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.669097
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.003968
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,gkt,"0    0.81082
Name: overall_dataset_auc_mean, dtype: float64","0    0.001035
Name: overall_dataset_auc_std, dtype: float64","0    0.775013
Name: student_auc_mean_mean, dtype: float64","0    0.001772
Name: student_auc_mean_std, dtype: float64","0    0.065071
Name: student_auc_std_mean, dtype: float64","0    0.002213
Name: student_auc_std_std, dtype: float64","0    0.966032
Name: student_auc_max_mean, dtype: float64","0    0.021254
Name: student_auc_max_std, dtype: float64","0    0.559744
Name: student_auc_min_mean, dtype: float64","0    0.026289
Name: student_auc_min_std, dtype: float64","0    0.406287
Name: student_auc_range_mean, dtype: float64","0    0.026524
Name: student_auc_range_std, dtype: float64",29.31476226519573,"0    0.775013
Name: student_auc_average_auc_mean, dtype: float64","0    0.001772
Name: student_auc_average_auc_std, dtype: float64","0    0.044907
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001135
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.740209
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.001886
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.706969
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.0023
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.675223
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.002825
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,hawkes,"0    0.823781
Name: overall_dataset_auc_mean, dtype: float64","0    0.001142
Name: overall_dataset_auc_std, dtype: float64","0    0.795471
Name: student_auc_mean_mean, dtype: float64","0    0.001759
Name: student_auc_mean_std, dtype: float64","0    0.063685
Name: student_auc_std_mean, dtype: float64","0    0.002294
Name: student_auc_std_std, dtype: float64","0    0.944444
Name: student_auc_max_mean, dtype: float64","0    0.0
Name: student_auc_max_std, dtype: float64","0    0.542073
Name: student_auc_min_mean, dtype: float64","0    0.027577
Name: student_auc_min_std, dtype: float64","0    0.402371
Name: student_auc_range_mean, dtype: float64","0    0.027577
Name: student_auc_range_std, dtype: float64",31.042559756190325,"0    0.795471
Name: student_auc_average_auc_mean, dtype: float64","0    0.001759
Name: student_auc_average_auc_std, dtype: float64","0    0.041998
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001216
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.762064
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.002538
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.730061
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.003307
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.699403
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.004028
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,kqn,"0    0.803424
Name: overall_dataset_auc_mean, dtype: float64","0    0.001834
Name: overall_dataset_auc_std, dtype: float64","0    0.769828
Name: student_auc_mean_mean, dtype: float64","0    0.002579
Name: student_auc_mean_std, dtype: float64","0    0.06463
Name: student_auc_std_mean, dtype: float64","0    0.002699
Name: student_auc_std_std, dtype: float64","0    0.974286
Name: student_auc_max_mean, dtype: float64","0    0.011952
Name: student_auc_max_std, dtype: float64","0    0.53993
Name: student_auc_min_mean, dtype: float64","0    0.041886
Name: student_auc_min_std, dtype: float64","0    0.434356
Name: student_auc_range_mean, dtype: float64","0    0.045162
Name: student_auc_range_std, dtype: float64",27.423045326640363,"0    0.769828
Name: student_auc_average_auc_mean, dtype: float64","0    0.002579
Name: student_auc_average_auc_std, dtype: float64","0    0.044417
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001176
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.735636
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.003147
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.702964
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.003745
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.671743
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.004327
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,saint,"0    0.776407
Name: overall_dataset_auc_mean, dtype: float64","0    0.002125
Name: overall_dataset_auc_std, dtype: float64","0    0.746682
Name: student_auc_mean_mean, dtype: float64","0    0.003984
Name: student_auc_mean_std, dtype: float64","0    0.068699
Name: student_auc_std_mean, dtype: float64","0    0.001641
Name: student_auc_std_std, dtype: float64","0    0.888799
Name: student_auc_max_mean, dtype: float64","0    0.032566
Name: student_auc_max_std, dtype: float64","0    0.495919
Name: student_auc_min_mean, dtype: float64","0    0.026277
Name: student_auc_min_std, dtype: float64","0    0.39288
Name: student_auc_range_mean, dtype: float64","0    0.029961
Name: student_auc_range_std, dtype: float64",27.664606639375275,"0    0.746682
Name: student_auc_average_auc_mean, dtype: float64","0    0.003984
Name: student_auc_average_auc_std, dtype: float64","0    0.049057
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001219
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.71005
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.003649
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.675217
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.003549
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.642093
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.003639
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,sakt,"0    0.793743
Name: overall_dataset_auc_mean, dtype: float64","0    0.003206
Name: overall_dataset_auc_std, dtype: float64","0    0.754827
Name: student_auc_mean_mean, dtype: float64","0    0.004947
Name: student_auc_mean_std, dtype: float64","0    0.072293
Name: student_auc_std_mean, dtype: float64","0    0.002259
Name: student_auc_std_std, dtype: float64","0    0.944988
Name: student_auc_max_mean, dtype: float64","0    0.04818
Name: student_auc_max_std, dtype: float64","0    0.425007
Name: student_auc_min_mean, dtype: float64","0    0.032359
Name: student_auc_min_std, dtype: float64","0    0.519981
Name: student_auc_range_mean, dtype: float64","0    0.054849
Name: student_auc_range_std, dtype: float64",20.080014014082963,"0    0.754827
Name: student_auc_average_auc_mean, dtype: float64","0    0.004947
Name: student_auc_average_auc_std, dtype: float64","0    0.049603
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001542
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.71739
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.005606
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.681811
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.006265
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.647998
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.006889
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,skvmn,"0    0.654848
Name: overall_dataset_auc_mean, dtype: float64","0    0.01374
Name: overall_dataset_auc_std, dtype: float64","0    0.614084
Name: student_auc_mean_mean, dtype: float64","0    0.011583
Name: student_auc_mean_std, dtype: float64","0    0.075146
Name: student_auc_std_mean, dtype: float64","0    0.003691
Name: student_auc_std_std, dtype: float64","0    0.916667
Name: student_auc_max_mean, dtype: float64","0    0.062113
Name: student_auc_max_std, dtype: float64","0    0.373868
Name: student_auc_min_mean, dtype: float64","0    0.023476
Name: student_auc_min_std, dtype: float64","0    0.542799
Name: student_auc_range_mean, dtype: float64","0    0.073419
Name: student_auc_range_std, dtype: float64",15.05507039193766,"0    0.614084
Name: student_auc_average_auc_mean, dtype: float64","0    0.011583
Name: student_auc_average_auc_std, dtype: float64","0    0.064052
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.003182
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.574748
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.010888
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.537938
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.010563
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.503489
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.01051
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
assist2009,akt,"0    0.769208
Name: overall_dataset_auc_mean, dtype: float64","0    0.004491
Name: overall_dataset_auc_std, dtype: float64","0    0.639557
Name: student_auc_mean_mean, dtype: float64","0    0.00202
Name: student_auc_mean_std, dtype: float64","0    0.202832
Name: student_auc_std_mean, dtype: float64","0    0.002812
Name: student_auc_std_std, dtype: float64","0    1.0
Name: student_auc_max_mean, dtype: float64","0    0.0
Name: student_auc_max_std, dtype: float64","0    0.0
Name: student_auc_min_mean, dtype: float64","0    0.0
Name: student_auc_min_std, dtype: float64","0    1.0
Name: student_auc_range_mean, dtype: float64","0    0.0
Name: student_auc_range_std, dtype: float64",3.1531409881256462,"0    0.639557
Name: student_auc_average_auc_mean, dtype: float64","0    0.00202
Name: student_auc_average_auc_std, dtype: float64","0    0.172194
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.002753
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.52943
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.002901
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.438271
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.003729
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.362811
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.00425
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
assist2009,atkt,"0    0.737353
Name: overall_dataset_auc_mean, dtype: float64","0    0.002455
Name: overall_dataset_auc_std, dtype: float64","0    0.627026
Name: student_auc_mean_mean, dtype: float64","0    0.005071
Name: student_auc_mean_std, dtype: float64","0    0.190907
Name: student_auc_std_mean, dtype: float64","0    0.002474
Name: student_auc_std_std, dtype: float64","0    1.0
Name: student_auc_max_mean, dtype: float64","0    0.0
Name: student_auc_max_std, dtype: float64","0    0.0
Name: student_auc_min_mean, dtype: float64","0    0.0
Name: student_auc_min_std, dtype: float64","0    1.0
Name: student_auc_range_mean, dtype: float64","0    0.0
Name: student_auc_range_std, dtype: float64",3.2844643071597304,"0    0.627026
Name: student_auc_average_auc_mean, dtype: float64","0    0.005071
Name: student_auc_average_auc_std, dtype: float64","0    0.163353
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.002281
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.524607
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.005469
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.43892
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.00567
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.367231
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.005689
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
assist2009,atktfix,"0    0.710635
Name: overall_dataset_auc_mean, dtype: float64","0    0.001817
Name: overall_dataset_auc_std, dtype: float64","0    0.57071
Name: student_auc_mean_mean, dtype: float64","0    0.001843
Name: student_auc_mean_std, dtype: float64","0    0.197189
Name: student_auc_std_mean, dtype: float64","0    0.0022
Name: student_auc_std_std, dtype: float64","0    1.0
Name: student_auc_max_mean, dtype: float64","0    0.0
Name: student_auc_max_std, dtype: float64","0    0.0
Name: student_auc_min_mean, dtype: float64","0    0.0
Name: student_auc_min_std, dtype: float64","0    1.0
Name: student_auc_range_mean, dtype: float64","0    0.0
Name: student_auc_range_std, dtype: float64",2.894232231524867,"0    0.57071
Name: student_auc_average_auc_mean, dtype: float64","0    0.001843
Name: student_auc_average_auc_std, dtype: float64","0    0.185817
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001998
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.464663
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.002088
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.378323
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.002451
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.308028
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.002681
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
assist2009,bakt,"0    0.758966
Name: overall_dataset_auc_mean, dtype: float64","0    0.006451
Name: overall_dataset_auc_std, dtype: float64","0    0.631963
Name: student_auc_mean_mean, dtype: float64","0    0.008074
Name: student_auc_mean_std, dtype: float64","0    0.199967
Name: student_auc_std_mean, dtype: float64","0    0.004256
Name: student_auc_std_std, dtype: float64","0    1.0
Name: student_auc_max_mean, dtype: float64","0    0.0
Name: student_auc_max_std, dtype: float64","0    0.0
Name: student_auc_min_mean, dtype: float64","0    0.0
Name: student_auc_min_std, dtype: float64","0    1.0
Name: student_auc_range_mean, dtype: float64","0    0.0
Name: student_auc_range_std, dtype: float64",3.1603347423329438,"0    0.631963
Name: student_auc_average_auc_mean, dtype: float64","0    0.008074
Name: student_auc_average_auc_std, dtype: float64","0    0.171354
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.004617
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.523694
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.008906
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.433984
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.009475
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.35965
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.009683
Name: student_auc_eawi_alpha_30_std, dtype: float64","42,42,42,42,3407"
